,schedule_date,schedule_season,schedule_week,schedule_playoff,team_home,score_home,score_away,team_away,home_wins,away_wins,favorite_margin,primetime,team_favorite_id,favorite_cover,spread_favorite,over_under_line,stadium,stadium_neutral,weather_temperature,weather_wind_mph,weather_humidity,weather_detail,who_covered,day_week,primetime,winning_score,losing_score,win_margin,home_margin,away_margin,favorite_margin,home_favored_by,home_difference,home_cover,home_favorite_cover,home_dog_cover
0,9/1/79,1979,1,FALSE,TB,31,16,DET,,,15,TRUE,TB,TRUE,-3,30,Houlihan's Stadium,FALSE,79,9,87,,TB,Saturday,FALSE,31,16,15,15,-15,15,3,12,TRUE,TRUE,HOME FAV
1,9/2/79,1979,1,FALSE,BUF,7,9,MIA,,,2,FALSE,MIA,FALSE,-5,39,Ralph Wilson Stadium,FALSE,74,15,74,,BUF,Sunday,FALSE,9,7,2,-2,2,2,-5,3,TRUE,AWAY FAV,TRUE
2,9/2/79,1979,1,FALSE,CHI,6,3,GB,,,3,FALSE,CHI,PUSH,-3,31,Soldier Field,FALSE,78,11,68,,PUSH,Sunday,FALSE,6,3,3,3,-3,3,3,0,PUSH,PUSH,HOME FAV
3,9/2/79,1979,1,FALSE,DEN,10,0,CIN,,,10,FALSE,DEN,TRUE,-3,31.5,Mile High Stadium,FALSE,69,6,38,,DEN,Sunday,FALSE,10,0,10,10,-10,10,3,7,TRUE,TRUE,HOME FAV
4,9/2/79,1979,1,FALSE,KC,14,0,IND,,,14,FALSE,KC,TRUE,-1,37,Arrowhead Stadium,FALSE,76,8,71,,KC,Sunday,FALSE,14,0,14,14,-14,14,1,13,TRUE,TRUE,HOME FAV
5,9/2/79,1979,1,FALSE,LAR,17,24,LVR,,,-7,FALSE,LAR,FALSE,-4,36.5,Anaheim Stadium,FALSE,70,10,77,,LVR,Sunday,FALSE,24,17,7,-7,7,-7,4,-11,FALSE,FALSE,HOME FAV
6,9/2/79,1979,1,FALSE,MIN,28,22,SF,,,6,FALSE,MIN,FALSE,-7,32,Metropolitan Stadium,FALSE,70,11,67,,SF,Sunday,FALSE,28,22,6,6,-6,6,7,-1,FALSE,FALSE,HOME FAV
7,9/2/79,1979,1,FALSE,NO,34,40,ATL,,,-6,FALSE,NO,FALSE,-5,32,Louisiana Superdome,FALSE,72,0,,DOME,ATL,Sunday,FALSE,40,34,6,-6,6,-6,5,-11,FALSE,FALSE,HOME FAV
8,9/2/79,1979,1,FALSE,NYJ,22,25,CLE,,,-3,FALSE,NYJ,FALSE,-2,41,Giants Stadium,FALSE,73,10,76,,CLE,Sunday,FALSE,25,22,3,-3,3,-3,2,-5,FALSE,FALSE,HOME FAV
9,9/2/79,1979,1,FALSE,PHI,23,17,NYG,,,6,FALSE,PHI,FALSE,-7,31.5,Veterans Stadium,FALSE,76,9,84,,NYG,Sunday,FALSE,23,17,6,6,-6,6,7,-1,FALSE,FALSE,HOME FAV
10,9/2/79,1979,1,FALSE,SEA,16,33,LAC,,,-17,FALSE,SEA,FALSE,-2,42.5,Seattle Kingdome,FALSE,72,0,,DOME,LAC,Sunday,FALSE,33,16,17,-17,17,-17,2,-19,FALSE,FALSE,HOME FAV
11,9/2/79,1979,1,FALSE,ARI,21,22,DAL,,,1,FALSE,DAL,FALSE,-4,37,Busch Memorial Stadium,FALSE,76,7,73,,ARI,Sunday,FALSE,22,21,1,-1,1,1,-4,3,TRUE,AWAY FAV,TRUE
12,9/2/79,1979,1,FALSE,WAS,27,29,TEN,,,2,FALSE,TEN,FALSE,-4,33,RFK Memorial Stadium,FALSE,80,11,85,,WAS,Sunday,FALSE,29,27,2,-2,2,2,-4,2,TRUE,AWAY FAV,TRUE
13,9/3/79,1979,1,FALSE,NE,13,16,PIT,,,3,TRUE,PIT,TRUE,-2,37,Foxboro Stadium,FALSE,78,13,80,,PIT,Monday,TRUE,16,13,3,-3,3,3,-2,-1,FALSE,AWAY FAV,FALSE
14,9/6/79,1979,2,FALSE,DEN,9,13,LAR,1,0,-4,TRUE,DEN,FALSE,-2,31.5,Mile High Stadium,FALSE,67,8,50,,LAR,Thursday,TRUE,13,9,4,-4,4,-4,2,-6,FALSE,FALSE,HOME FAV
15,9/9/79,1979,2,FALSE,IND,26,29,TB,1,1,3,FALSE,PICK,TRUE,0,33,Memorial Stadium (Baltimore),FALSE,64,8,65,,PICK,Sunday,FALSE,29,26,3,-3,3,3,0,-3,FALSE,AWAY FAV,HOME FAV
16,9/9/79,1979,2,FALSE,BUF,51,24,CIN,0,0,-27,FALSE,CIN,FALSE,-3,34,Ralph Wilson Stadium,FALSE,54,7,63,,BUF,Sunday,FALSE,51,24,27,27,-27,-27,-3,30,TRUE,AWAY FAV,TRUE
17,9/9/79,1979,2,FALSE,CHI,26,7,MIN,1,1,19,FALSE,CHI,TRUE,-6,31.5,Soldier Field,FALSE,60,11,64,,CHI,Sunday,FALSE,26,7,19,19,-19,19,6,13,TRUE,TRUE,HOME FAV
